group,repository,series,series_title,sample_accession,source_file,hpap_name,donor,library,run,rows_in_original_object,barcodes_also_in_other_runs,cells_in_corrected_object_per_donor_library
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-077,1_matrix.mtx,HPAP-077_FGC2507_103411,HPAP-077,103411,FGC2507,2028,1858,2339
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-077,2_matrix.mtx,HPAP-077_FGC2512_103411,HPAP-077,103411,FGC2512,2144,2115,2339
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-077,16_matrix.mtx,HPAP077_103411,HPAP-077,103411,run_unlabelled,2140,2140,2339
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-092,3_matrix.mtx,HPAP-092_FGC2332_105153,HPAP-092,105153,FGC2332,3878,3809,3892
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-092,4_matrix.mtx,HPAP-092_FGC2390_105153,HPAP-092,105153,FGC2390,6,2,3892
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-092,5_matrix.mtx,HPAP-092_FGC2430_105153,HPAP-092,105153,FGC2430,3819,3810,3892
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-099,6_matrix.mtx,HPAP-099_FGC2390_106838,HPAP-099,106838,FGC2390,3100,3100,3332
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-099,7_matrix.mtx,HPAP-099_FGC2430_106838,HPAP-099,106838,FGC2430,3247,3015,3332
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-099,8_matrix.mtx,HPAP-099_FGC2507_106838,HPAP-099,106838,FGC2507,85,85,3332
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-099,9_matrix.mtx,HPAP-099_FGC2512_106838,HPAP-099,106838,FGC2512,1221,1221,3332
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-101,10_matrix.mtx,HPAP-101_FGC2390_106840,HPAP-101,106840,FGC2390,2968,2968,9900
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-101,11_matrix.mtx,HPAP-101_FGC2430_106840,HPAP-101,106840,FGC2430,9897,9833,9900
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-101,12_matrix.mtx,HPAP-101_FGC2507_106840,HPAP-101,106840,FGC2507,7370,7370,9900
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-101,13_matrix.mtx,HPAP-101_FGC2512_106840,HPAP-101,106840,FGC2512,9835,9834,9900
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-104,14_matrix.mtx,HPAP-104_FGC2390_107485,HPAP-104,107485,FGC2390,5648,5625,6268
Non-tumour pancreas,HPAP / PANC-DB,PANC-DB,Human Pancreas Analysis Program,HPAP-104,15_matrix.mtx,HPAP-104_FGC2430_107485,HPAP-104,107485,FGC2430,6245,5625,6268
PDAC (tumour),GEO,GSE154778,Single-cell transcriptomics of pancreatic primary tumor and metastatic biopsy tissues,GSM4679532,GSM4679532_K16733_matrix.mtx,,GSM4679532_K16733,GSM4679532_K16733,GSM4679532_K16733,468,0,468
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204112,GSM6204112_P04_matrix.mtx,,GSM6204112_P04,GSM6204112_P04,GSM6204112_P04,2430,0,2430
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204113,GSM6204113_P05_matrix.mtx,,GSM6204113_P05,GSM6204113_P05,GSM6204113_P05,17747,0,17747
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204115,GSM6204115_P07_matrix.mtx,,GSM6204115_P07,GSM6204115_P07,GSM6204115_P07,5213,0,5213
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204117,GSM6204117_P09_matrix.mtx,,GSM6204117_P09,GSM6204117_P09,GSM6204117_P09,1894,0,1894
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204121,GSM6204121_P13_matrix.mtx,,GSM6204121_P13,GSM6204121_P13,GSM6204121_P13,2405,0,2405
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204123,GSM6204123_P15_matrix.mtx,,GSM6204123_P15,GSM6204123_P15,GSM6204123_P15,8029,0,8029
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204127,GSM6204127_P19_matrix.mtx,,GSM6204127_P19,GSM6204127_P19,GSM6204127_P19,15573,0,15573
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204128,GSM6204128_P20_matrix.mtx,,GSM6204128_P20,GSM6204128_P20,GSM6204128_P20,9242,0,9242
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204130,GSM6204130_P22_matrix.mtx,,GSM6204130_P22,GSM6204130_P22,GSM6204130_P22,6192,0,6192
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204131,GSM6204131_P23_matrix.mtx,,GSM6204131_P23,GSM6204131_P23,GSM6204131_P23,11692,0,11692
PDAC (tumour),GEO,GSE205013,Effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment,GSM6204134,GSM6204134_P26_matrix.mtx,,GSM6204134_P26,GSM6204134_P26,GSM6204134_P26,5962,0,5962
PDAC (tumour),GEO,GSE212966,Single-cell RNA-seq reveals immune landscape of pancreatic cancer,GSM6567157,GSM6567157_PDAC1_matrix.mtx,,GSM6567157_PDAC1,GSM6567157_PDAC1,GSM6567157_PDAC1,6382,0,6382
PDAC (tumour),GEO,GSE212966,Single-cell RNA-seq reveals immune landscape of pancreatic cancer,GSM6567159,GSM6567159_PDAC2_matrix.mtx,,GSM6567159_PDAC2,GSM6567159_PDAC2,GSM6567159_PDAC2,5322,0,5322
PDAC (tumour),GEO,GSE212966,Single-cell RNA-seq reveals immune landscape of pancreatic cancer,GSM6567160,GSM6567160_PDAC3_matrix.mtx,,GSM6567160_PDAC3,GSM6567160_PDAC3,GSM6567160_PDAC3,5127,0,5127
PDAC (tumour),GEO,GSE212966,Single-cell RNA-seq reveals immune landscape of pancreatic cancer,GSM6567161,GSM6567161_PDAC4_matrix.mtx,,GSM6567161_PDAC4,GSM6567161_PDAC4,GSM6567161_PDAC4,5211,0,5211
PDAC (tumour),GEO,GSE212966,Single-cell RNA-seq reveals immune landscape of pancreatic cancer,GSM6567163,GSM6567163_PDAC5_matrix.mtx,,GSM6567163_PDAC5,GSM6567163_PDAC5,GSM6567163_PDAC5,4041,0,4041
PDAC (tumour),GEO,GSE214295,Single-cell transcriptome profiling of primary tumors and paired organoids of pancreatic cancer,GSM6603324,GSM6603324_Primary001_matrix.mtx,,GSM6603324_Primary001,GSM6603324_Primary001,GSM6603324_Primary001,7258,0,7258
PDAC (tumour),GEO,GSE214295,Single-cell transcriptome profiling of primary tumors and paired organoids of pancreatic cancer,GSM6603325,GSM6603325_Primary002_matrix.mtx,,GSM6603325_Primary002,GSM6603325_Primary002,GSM6603325_Primary002,9695,0,9695
PDAC (tumour),GEO,GSE214295,Single-cell transcriptome profiling of primary tumors and paired organoids of pancreatic cancer,GSM6603326,GSM6603326_Primary003_matrix.mtx,,GSM6603326_Primary003,GSM6603326_Primary003,GSM6603326_Primary003,7731,0,7731
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755911,GSM7755911_wu01_matrix.mtx,,GSM7755911_wu01,GSM7755911_wu01,GSM7755911_wu01,627,0,627
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755912,GSM7755912_wu02_matrix.mtx,,GSM7755912_wu02,GSM7755912_wu02,GSM7755912_wu02,408,0,408
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755913,GSM7755913_wu03_matrix.mtx,,GSM7755913_wu03,GSM7755913_wu03,GSM7755913_wu03,1326,0,1326
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755914,GSM7755914_wu04_matrix.mtx,,GSM7755914_wu04,GSM7755914_wu04,GSM7755914_wu04,95,0,95
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755915,GSM7755915_wu05_matrix.mtx,,GSM7755915_wu05,GSM7755915_wu05,GSM7755915_wu05,574,0,574
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755916,GSM7755916_wu07_matrix.mtx,,GSM7755916_wu07,GSM7755916_wu07,GSM7755916_wu07,2504,0,2504
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755917,GSM7755917_wu09_matrix.mtx,,GSM7755917_wu09,GSM7755917_wu09,GSM7755917_wu09,62,0,62
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755918,GSM7755918_wu14_matrix.mtx,,GSM7755918_wu14,GSM7755918_wu14,GSM7755918_wu14,463,0,463
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755919,GSM7755919_wu15_matrix.mtx,,GSM7755919_wu15,GSM7755919_wu15,GSM7755919_wu15,1125,0,1125
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755920,GSM7755920_wu16_matrix.mtx,,GSM7755920_wu16,GSM7755920_wu16,GSM7755920_wu16,964,0,964
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755921,GSM7755921_wu18_matrix.mtx,,GSM7755921_wu18,GSM7755921_wu18,GSM7755921_wu18,902,0,902
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755922,GSM7755922_wu22_matrix.mtx,,GSM7755922_wu22,GSM7755922_wu22,GSM7755922_wu22,411,0,411
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755923,GSM7755923_wu23_matrix.mtx,,GSM7755923_wu23,GSM7755923_wu23,GSM7755923_wu23,116,0,116
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755924,GSM7755924_wu24_matrix.mtx,,GSM7755924_wu24,GSM7755924_wu24,GSM7755924_wu24,307,0,307
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755925,GSM7755925_wu25_matrix.mtx,,GSM7755925_wu25,GSM7755925_wu25,GSM7755925_wu25,729,0,729
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755926,GSM7755926_wu26_matrix.mtx,,GSM7755926_wu26,GSM7755926_wu26,GSM7755926_wu26,1530,0,1530
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755927,GSM7755927_wu27_matrix.mtx,,GSM7755927_wu27,GSM7755927_wu27,GSM7755927_wu27,1669,0,1669
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755928,GSM7755928_wu28_matrix.mtx,,GSM7755928_wu28,GSM7755928_wu28,GSM7755928_wu28,1693,0,1693
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755929,GSM7755929_wu29_matrix.mtx,,GSM7755929_wu29,GSM7755929_wu29,GSM7755929_wu29,1328,0,1328
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755930,GSM7755930_wu30_matrix.mtx,,GSM7755930_wu30,GSM7755930_wu30,GSM7755930_wu30,1592,0,1592
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755931,GSM7755931_wu31_matrix.mtx,,GSM7755931_wu31,GSM7755931_wu31,GSM7755931_wu31,1003,0,1003
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755932,GSM7755932_wu32_matrix.mtx,,GSM7755932_wu32,GSM7755932_wu32,GSM7755932_wu32,700,0,700
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755933,GSM7755933_wu38_matrix.mtx,,GSM7755933_wu38,GSM7755933_wu38,GSM7755933_wu38,41,0,41
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755934,GSM7755934_wu39_matrix.mtx,,GSM7755934_wu39,GSM7755934_wu39,GSM7755934_wu39,7003,0,7003
PDAC (tumour),GEO,GSE242230,High-dimensional deconstruction of pancreatic cancer identifies tumor microenvironmental and developmental stemness features that predict survival,GSM7755935,GSM7755935_wu42_matrix.mtx,,GSM7755935_wu42,GSM7755935_wu42,GSM7755935_wu42,845,0,845
