method,metric,mean,ci_low,ci_high,n
DUET,fdr,0.0608744022863459,0.013364135241161932,0.12448180881319958,50
DUET,sensitivity,0.6361406737468407,0.6135028623453601,0.6580286058544107,50
MAST,fdr,0.0605564830566487,0.01320671955743046,0.12395377551963647,50
MAST,sensitivity,0.635028593522987,0.6126576008481606,0.6568018109006941,50
wilcoxon,fdr,0.0528057696094425,0.027296942010677637,0.08437393496472116,50
wilcoxon,sensitivity,0.6673942760375691,0.6431700989922385,0.6909165436813258,50
DESeq2,fdr,0.0493393028633767,0.04152459598434757,0.05715844922622151,50
DESeq2,sensitivity,0.888526806394437,0.8771660452753346,0.8992543418895913,50
diffxpy,fdr,0.0605166874267676,0.04552109654371786,0.07725544686386843,50
diffxpy,sensitivity,0.8819098468095622,0.8675954546334138,0.8960830045211071,50
