replicate,method,category,common_genes,category_genes,called,call_fraction
51,DUET,de,3966,89,78,0.8764044943820225
51,DUET,dp,3966,101,72,0.7128712871287128
51,DUET,dm,3966,90,63,0.7
51,DUET,db,3966,87,33,0.3793103448275862
51,DUET,ee,3966,3147,568,0.18048935494121385
51,DUET,ep,3966,452,122,0.26991150442477874
51,MAST,de,3966,89,78,0.8764044943820225
51,MAST,dp,3966,101,72,0.7128712871287128
51,MAST,dm,3966,90,63,0.7
51,MAST,db,3966,87,32,0.367816091954023
51,MAST,ee,3966,3147,560,0.17794725135049252
51,MAST,ep,3966,452,119,0.26327433628318586
51,wilcoxon,de,3966,89,70,0.7865168539325843
51,wilcoxon,dp,3966,101,62,0.6138613861386139
51,wilcoxon,dm,3966,90,55,0.6111111111111112
51,wilcoxon,db,3966,87,27,0.3103448275862069
51,wilcoxon,ee,3966,3147,89,0.028280902446774708
51,wilcoxon,ep,3966,452,30,0.06637168141592921
51,diffxpy,de,3966,89,87,0.9775280898876404
51,diffxpy,dp,3966,101,91,0.900990099009901
51,diffxpy,dm,3966,90,80,0.8888888888888888
51,diffxpy,db,3966,87,57,0.6551724137931034
51,diffxpy,ee,3966,3147,13,0.004130918334922148
51,diffxpy,ep,3966,452,2,0.004424778761061947
51,DESeq2,de,3966,89,89,1.0
51,DESeq2,dp,3966,101,97,0.9603960396039604
51,DESeq2,dm,3966,90,84,0.9333333333333333
51,DESeq2,db,3966,87,57,0.6551724137931034
51,DESeq2,ee,3966,3147,20,0.006355258976803305
51,DESeq2,ep,3966,452,4,0.008849557522123894
52,DUET,de,3983,100,88,0.88
52,DUET,dp,3983,95,77,0.8105263157894737
52,DUET,dm,3983,96,73,0.7604166666666666
52,DUET,db,3983,125,79,0.632
52,DUET,ee,3983,3132,472,0.15070242656449553
52,DUET,ep,3983,435,47,0.10804597701149425
52,MAST,de,3983,100,88,0.88
52,MAST,dp,3983,95,77,0.8105263157894737
52,MAST,dm,3983,96,73,0.7604166666666666
