dataset,celltype,cells,genes,log2fc_r,sign_pct,nlp_spearman,sig_jaccard
kang,B cells,2651,1523.0,0.9999997430031139,100.0,0.9998192343988621,0.8475177304964538
kang,CD14+ Monocytes,5697,1954.0,0.9999999672337332,100.0,0.9999925786097075,0.9900314795383001
kang,CD4 T cells,11238,1293.0,0.9999999861279134,100.0,0.9999862497074664,0.9500818330605565
crowell,Astrocytes,1740,2987.0,0.9999991919825573,100.0,0.9970389557731327,0.9440518256772674
crowell,Excit. Neuron,16622,5842.0,0.9999999855994751,99.9828825744608,0.9999790791720723,0.9996468303019601
crowell,Inhib. Neuron,3382,5821.0,0.9999997314978717,99.9656416423295,0.9993953806604647,0.9692966797572296
pancreas,Ductal cell,8020,9058.0,0.9999999189442741,100.0,0.9999951767649612,1.0
pancreas,Endothelial cell,5332,7436.0,0.9999999257827583,100.0,0.9997994747682243,0.9997307847624175
pancreas,Stellate cell,3741,7129.0,0.9999998627336559,100.0,0.9999716299040005,0.983458177278402
"simulation (100 replicates, median)",cluster1,24000,3994.5,0.9999999970558247,100.0,0.999929792589362,0.9953217142124207
pancreas (benchmark ladder),ductal_1000,1000,9101.0,0.9999958730543704,99.8791341610812,0.9993907252869415,0.9993399339933994
pancreas (benchmark ladder),ductal_2500,2500,9082.0,0.9999991156063852,99.92292446597666,0.9999082565935525,1.0
pancreas (benchmark ladder),ductal_5000,5000,9068.0,0.9999998045398351,99.97794441993825,0.9999783603697167,1.0
pancreas (benchmark ladder),ductal_all,8020,9058.0,0.9999999189442741,100.0,0.9999907246622715,1.0
pancreas (benchmark ladder),pooled_10000,10000,8537.0,0.9999999713725379,100.0,0.9999805861361781,1.0
pancreas (benchmark ladder),pooled_15000,15000,8523.0,0.9999999867027386,100.0,0.9999916059042194,1.0
pancreas (benchmark ladder),pooled_2500,2500,8646.0,0.9999995593274681,99.95373583159842,0.9997696345991236,0.9990612532269421
pancreas (benchmark ladder),pooled_5000,5000,8474.0,0.9999998744757719,100.0,0.9999354930303493,1.0
pancreas (benchmark ladder),pooled_all,17093,8519.0,0.9999999896222385,100.0,0.9999930350005515,1.0
