tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,background_cpu_mean,background_cpu_max
fair,ductal_1000,duet,,,,condition,1,1,True,4.0,False,True,0-15,1789294769.796101,duet,read,0.018,0.031,256.421875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,1,True,4.0,False,True,0-15,1789294769.796101,duet,fit_test,0.065,0.062,256.421875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,1,True,4.0,False,True,0-15,1789294769.796101,duet,write,0.103,0.094,233.44921875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,1,True,4.0,False,True,0-15,1789294769.796101,duet,TOTAL_PROCESS,1.6820836067199707,1.546875,256.421875,,272.66796875,225.85546875,211.4921875,44.9296875,0.0,,,,
fair,ductal_1000,duet,,,,condition,1,1,True,4.0,False,True,0-15,1789294769.796101,ALL,TOTAL_RUN,1.6820836067199707,1.546875,256.421875,,272.66796875,225.85546875,211.4921875,44.9296875,0.0,,,7.5,7.5
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,export,read,0.017,0.016,258.83203125,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,export,export,0.088,0.719,261.28515625,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,export,TOTAL_PROCESS,1.3207104206085205,1.921875,261.28515625,,261.31640625,219.4921875,160.50390625,100.78125,0.0,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,read,1.31,1.28,803.84375,598.2,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,singlecellassay,0.06,0.06,807.27734375,629.6,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,zlm,28.52,28.22,1342.203125,1119.7,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,lrtest,24.51,24.03,1358.66015625,1120.3,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,assemble,0.55,0.51,1292.7109375,982.5,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,write,0.05,0.04,1108.37890625,597.0,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,R,TOTAL_PROCESS,61.01314878463745,60.078125,1358.66015625,,1344.171875,1384.52734375,721.6171875,637.04296875,0.0,,assay class after SingleCellAssay: matrix,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,1,True,4.9,False,True,0-15,1789294773.485733,ALL,TOTAL_RUN,62.33385920524597,62.0,1358.66015625,,1344.171875,1384.52734375,160.50390625,637.04296875,0.0,,,9.0,13.91875
fair,ductal_1000,duet,,,,condition,1,2,False,3.6,False,True,0-15,1789294837.8293726,duet,read,0.017,0.016,254.23046875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,2,False,3.6,False,True,0-15,1789294837.8293726,duet,fit_test,0.064,0.078,257.19140625,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,2,False,3.6,False,True,0-15,1789294837.8293726,duet,write,0.107,0.094,233.83984375,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,2,False,3.6,False,True,0-15,1789294837.8293726,duet,TOTAL_PROCESS,1.6100537776947021,1.5625,257.19140625,,272.890625,225.91015625,187.18359375,70.0078125,0.0,,,,
fair,ductal_1000,duet,,,,condition,1,2,False,3.6,False,True,0-15,1789294837.8293726,ALL,TOTAL_RUN,1.6100537776947021,1.5625,257.19140625,,272.890625,225.91015625,187.18359375,70.0078125,0.0,,,7.5,7.5
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,export,read,0.017,0.016,235.86328125,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,export,export,0.088,0.797,261.625,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,export,TOTAL_PROCESS,1.307508945465088,1.9375,261.625,,261.62890625,219.640625,185.58984375,76.03515625,0.0,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,read,1.32,1.29,804.0546875,598.2,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,singlecellassay,0.07,0.05,807.19921875,629.6,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,zlm,28.11,27.59,1343.48828125,1119.7,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,lrtest,23.78,23.59,1336.8203125,1120.3,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,assemble,0.55,0.56,1282.2109375,982.5,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,write,0.05,0.05,1108.01953125,597.0,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,R,TOTAL_PROCESS,59.86872696876526,59.0,1343.48828125,,1329.0,1368.8828125,722.73046875,620.7578125,0.0,,assay class after SingleCellAssay: matrix,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,2,False,4.6,False,True,0-15,1789294841.445351,ALL,TOTAL_RUN,61.17623591423035,60.9375,1343.48828125,,1329.0,1368.8828125,185.58984375,620.7578125,0.0,,,6.3,11.725000000000001
fair,ductal_1000,duet,,,,condition,1,3,False,4.7,False,True,0-15,1789294904.632189,duet,read,0.018,0.016,259.3046875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,3,False,4.7,False,True,0-15,1789294904.632189,duet,fit_test,0.064,0.062,259.3046875,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,3,False,4.7,False,True,0-15,1789294904.632189,duet,write,0.109,0.109,234.37890625,,,,,,,,,,
fair,ductal_1000,duet,,,,condition,1,3,False,4.7,False,True,0-15,1789294904.632189,duet,TOTAL_PROCESS,1.6223516464233398,1.53125,259.3046875,,273.1640625,226.171875,186.71484375,72.58984375,0.0,,,,
fair,ductal_1000,duet,,,,condition,1,3,False,4.7,False,True,0-15,1789294904.632189,ALL,TOTAL_RUN,1.6223516464233398,1.53125,259.3046875,,273.1640625,226.171875,186.71484375,72.58984375,0.0,,,8.6,8.6
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,export,read,0.018,0.016,221.1484375,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,export,export,0.093,0.547,261.28515625,,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,export,TOTAL_PROCESS,1.3246443271636963,1.671875,261.28515625,,261.2890625,219.515625,160.19921875,101.0859375,0.0,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,read,1.32,1.28,803.55859375,598.2,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,singlecellassay,0.05,0.06,806.76171875,629.6,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,zlm,28.16,27.78,1342.2734375,1119.7,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,lrtest,24.2,24.1,1390.55078125,1120.3,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,assemble,0.53,0.52,1113.5,982.5,,,,,,,,,
fair,ductal_1000,mast,dense,TRUE,bayesglm,condition,1,3,False,4.8,False,True,0-15,1789294908.2595525,R,write,0.05,0.05,1093.4921875,597.0,,,,,,,,,
