gene,celltype,mean_ref,mean_test,det_ref,det_test,common_log2fc,delta_det_pp,lfc_DUET,lfc_MAST,lfc_diffxpy,lfc_DESeq2,lfc_Wilcoxon
ATP6V0C,Ductal cell,0.012396451,1.083093,0.024469233537243607,0.6842205685937209,7.2912617,65.97513350564773,1.5446905313342532,1.544194797913331,4.396625090133623,7.258499289715742,7.291264533996582
CAST,Ductal cell,0.005019006,0.9905015,0.009715725080964374,0.6426254531577412,8.393989,63.29097280767768,1.4217514318758573,1.421179783566949,5.195554917435066,9.164683694596905,8.393989562988281
COPRS,Ductal cell,0.97487944,0.29795757,0.8348326736235614,0.28563251287921804,-2.2497644,-54.92001607443433,-0.9765920147955496,-0.9762295915139954,-2.0326536031707554,-2.291727476426164,-2.249765157699585
CRIP1,Ductal cell,0.011999718,0.47433558,0.022310183519251525,0.2961266933791212,5.651831,27.381650985986965,0.6670091300764397,0.6666778550146564,4.067882624187094,6.700419521267319,5.651830196380615
DBNDD2,Ductal cell,0.0059021944,0.22458766,0.009715725080964374,0.23220759397061763,5.4106603,22.249186888965326,0.3154964525272892,0.3151809136427171,3.4131448917420206,6.6917782621654185,5.410660266876221
DEF8,Ductal cell,0.5499807,0.0836792,0.6171284634760579,0.095783247471857,-3.0705218,-52.13452160042009,-0.6727317279442511,-0.6724256813119219,-2.6319739264205286,-2.739507975993342,-3.070523977279663
EEF1G,Ductal cell,0.027017709,1.6110857,0.05577545879812904,0.8130127838198049,7.1933885,75.72373250216758,2.2853260908054045,2.284778699522732,4.263128671964413,7.743788628850268,7.193387508392334
EGLN2,Ductal cell,0.011779558,0.16066799,0.023389708528247566,0.17210456019843637,3.8786685,14.87148516701888,0.2148007553013484,0.2146237908270137,2.0666362181582008,4.689158898256039,3.8786697387695312
EIF4A1,Ductal cell,0.06904792,1.443378,0.11838790931990004,0.7456592253386084,5.49992,62.72713160187083,1.9827398752934344,1.9823279107587293,3.1577736627655,5.420629316287585,5.49992036819458
ELAC1,Ductal cell,0.15722378,0.041551072,0.24109391867578459,0.049227246708643584,-2.0046837,-19.1866671967141,-0.166880417094793,-0.1667140650606589,-2.0087324426048943,-2.021323743621081,-2.004683494567871
EPB41L4A-AS1,Ductal cell,1.3979475,0.3857208,0.9193954659949057,0.3470711696241055,-2.6945353,-57.23242963708002,-1.4603359741076272,-1.4597988232179815,-2.345896036679369,-2.6756520608816405,-2.69453763961792
EXTL3,Ductal cell,0.35927224,0.049025528,0.46023749550198306,0.05418813203587124,-3.1048744,-40.60493634661118,-0.4475913252488505,-0.4473084495869228,-2.842847551762507,-2.8877915586741563,-3.1048741340637207
FAM174C,Ductal cell,0.0034605784,0.20834678,0.007196833393306943,0.21389047891623858,6.062231,20.669364552293164,0.2955881068048845,0.295292496748642,3.5986939540121354,6.393824018663469,6.062230110168457
HSPA1B,Ductal cell,0.12122987,1.4595364,0.19179560993163156,0.6332760923487366,4.6800485,44.148048241710505,1.930764607989244,1.9304595257192536,3.0183842318114342,4.817154653907421,4.680044174194336
IGKC,Ductal cell,0.00010321802,0.29188862,0.0003598416696653472,0.23850410227056043,11.68109,23.81442606008951,0.4209572752489919,0.4204900574522681,8.788677525943381,10.490702815796515,11.681089401245115
INS,Ductal cell,0.9224253,0.12290597,0.46239654551997517,0.10627742797176166,-3.5344906,-35.61191175482135,-1.1534627669517348,-1.1530365355960672,-6.271899534960165,-9.133009592251614,-3.5344905853271484
LARP6,Ductal cell,0.5438309,0.16266178,0.6052536883771031,0.17000572409845544,-2.032383,-43.52479642786477,-0.5499106408788603,-0.5496755944837238,-2.0009395262427105,-2.3659215456356497,-2.0323824882507324
LYZ,Ductal cell,0.4400087,1.0361085,0.3745951781216296,0.4512497614958712,1.7179108,7.665458337424158,0.8599904711598162,0.8599281444111846,0.9765540804172675,2.0059653421681265,1.7179111242294312
MATR3,Ductal cell,1.0455896,0.00026443927,0.8315940985965737,0.0005724098454493417,-12.76826,-83.10216887511244,-1.5080862080051582,-1.5070099020697407,-8.79801479283671,-9.767391488038228,-12.768260955810549
MRPS24,Ductal cell,0.018932464,0.52388966,0.03454480028787336,0.4426636138141323,5.1710176,40.81188135262589,0.7284980519132529,0.7281973974036832,3.0563691217937587,6.564197406516915,5.17101526260376
MSANTD3,Ductal cell,0.4469527,0.076455854,0.5332853544440441,0.08853272276283196,-2.8263173,-44.47526316812122,-0.5345139472235336,-0.5342486850282648,-2.5340807471068243,-2.101356414843489,-2.826317071914673
NCBP2AS2,Ductal cell,0.60074234,0.15543187,0.6667866138898686,0.16886090440755674,-2.2918649,-49.79257094823119,-0.6424475509686939,-0.6421837403492765,-2.097454965492319,-1.9117150322284304,-2.291865348815918
NME2,Ductal cell,0.08036341,1.3376354,0.14681540122346273,0.744132799084077,5.0695415,59.73173978606143,1.813859441375572,1.813507067582422,2.993006826367696,5.981785349955951,5.069540023803711
NR1D1,Ductal cell,0.24337646,0.076058276,0.312342569269524,0.07536729631749702,-1.8019185,-23.697527295202697,-0.2413891153693404,-0.2412009224884499,-1.917760664399168,-1.714517745368183,-1.8019182682037356
OSGIN2,Ductal cell,0.57568294,0.110416636,0.6329614969413309,0.12192329708071044,-2.73707,-51.103819986062035,-0.6712386312156918,-0.6709479872734833,-2.3959658247514644,-1.932671547705037,-2.737072706222534
PFDN5,Ductal cell,0.0794816,1.5822058,0.14429650953580528,0.824842587292423,5.5462427,68.05460777566176,2.1679710527961973,2.167536747095383,3.052825356165747,4.979647955572093,5.546239852905273
PGP,Ductal cell,0.6508226,0.11826741,0.6801007556674845,0.12669337912612164,-2.8689008,-55.340737654136284,-0.7683149993433053,-0.7679914291588287,-2.5101493357188973,-2.176840641841272,-2.868901014328003
POLD4,Ductal cell,0.027450576,0.53040606,0.051097517092479484,0.4298797939324321,4.651821,37.878227683995256,0.7256111584768045,0.7253518075122741,2.706927080678679,5.445576399897184,4.651820659637451
PSMB1,Ductal cell,1.7505796,0.7830796,0.9676142497300553,0.5752718946765447,-2.001558,-39.23423550535106,-1.3958077464030312,-1.3951575330162882,-1.7875148689560056,-1.738219742058894,-2.001558542251587
RPL17,Ductal cell,0.33207187,2.5010262,0.49514213745952207,0.9324556382368843,4.8290534,43.73135007773622,3.1291407153166726,3.128675147101736,2.6018805798057225,4.873874357925123,4.829054832458496
SNHG30,Ductal cell,0.31851342,0.0858317,0.43037063691975896,0.09482923106277476,-2.0652666,-33.55414058569842,-0.3356887508764265,-0.3354881874969079,-2.02498062683438,-1.7816468268603816,-2.0652668476104736
SST,Ductal cell,0.30064803,0.008520877,0.22382151853184776,0.008586147681740128,-5.35708,-21.523537085010762,-0.4214501704438898,-0.4209102484891135,-7.023810626048654,-9.794871359104814,-5.357079029083252
TEX30,Ductal cell,0.1465534,0.029055035,0.23173803526448547,0.03568021369967574,-2.4205635,-19.605782156480974,-0.1695142672049102,-0.1693281762421734,-2.2362036229640143,-2.30626406123535,-2.420563220977783
TMEM35B,Ductal cell,0.0019598475,0.3942051,0.0035984166966534716,0.3573745468421922,7.944335,35.37761301455388,0.5658900540162444,0.5654271250291701,5.075613718462212,8.33960886572839,7.944334030151367
TOMM6,Ductal cell,0.0020221826,0.65051514,0.0035984166966534716,0.5102079755771453,8.822662,50.66095588804917,0.93557765360992,0.9350065396054852,5.731621352072701,9.47832337236674,8.822662353515625
TRAPPC5,Ductal cell,0.010866389,0.6330519,0.02051097517092479,0.5069643197862661,6.3371944,48.64533446153413,0.8976242685194304,0.8972416184536908,3.728022707002291,7.003189912096243,6.337194919586182
TTC32,Ductal cell,0.2454552,0.07623969,0.35984166966535025,0.08414424728105364,-1.8121793,-27.56974223842966,-0.2441263767319457,-0.2439508757145645,-1.8732223750465768,-1.7953127130852764,-1.8121793270111084
TTR,Ductal cell,0.27662876,0.13084827,0.27455919395466216,0.10780385422629325,-1.1887826,-16.67553397283689,-0.2103168383288511,-0.2101597072077131,-2.36782936775179,-3.535048307124681,-1.1887832880020142
TXNRD1,Ductal cell,0.9215854,0.22104292,0.7499100395825518,0.2186605609616498,-2.612888,-53.1249478620902,-1.01066818972845,-1.0103208574934368,-2.430778241446109,-2.199492671652945,-2.612886667251587
WDR83OS,Ductal cell,0.0029464085,0.80984247,0.005757466714645555,0.5960694523945346,8.723803,59.031198567988895,1.1641051369373088,1.1635459748866523,5.469583610867264,8.854385324629927,8.72380256652832
ATP6V0C,Endothelial cell,0.010031814,0.74340713,0.008990318118948824,0.5800308800823746,6.77358,57.104056196342576,1.0580374992412451,1.0567756672249875,4.932041246188459,6.669259989907238,6.773581027984619
CAST,Endothelial cell,0.0026355842,1.0571178,0.0027662517289073307,0.6958311888832087,9.475005,69.30649371543014,1.5212983448633426,1.5197289493580353,6.4256321430115095,8.819450465726595,9.475008964538574
COPRS,Endothelial cell,0.90041494,0.17135261,0.567081604426001,0.19840452907874237,-2.9661753,-36.86770753472586,-1.0518145865325716,-1.0513089784679273,-1.7737029587390631,-2.70901815888471,-2.966175079345703
CRIP1,Endothelial cell,0.010790264,0.87028736,0.012448132780082983,0.5102933607823167,6.998924,49.78452280022337,1.239991751784418,1.2389456718962186,5.338285553549184,6.870921509757104,6.998922824859619
DBNDD2,Endothelial cell,0.0006364659,0.11281177,0.0006915629322268327,0.1245496654657739,7.551298,12.385810253354707,0.1618347240406925,0.1608805796138616,5.593445911674151,6.750092015181856,7.55129861831665
DEF8,Endothelial cell,0.9417341,0.14060399,0.5829875518672181,0.16855378281008612,-3.37331,-41.443376905713194,-1.1557859266083323,-1.1551950309821155,-2.0612160294835244,-2.9712275994131065,-3.373310089111328
EEF1G,Endothelial cell,0.015798148,1.7026025,0.015905947441217143,0.8319608852290782,8.13883,81.60549377878611,2.4335436272930253,2.431951423477854,5.570254225811802,7.790323489254262,8.138830184936523
EGLN2,Endothelial cell,0.005257552,0.33410797,0.006224066390041494,0.32913021101390066,6.233697,32.29061446238592,0.4744305442223421,0.4735950683903924,3.9774877473977033,5.027526833651977,6.2336955070495605
EIF4A1,Endothelial cell,0.040231355,1.7113485,0.041493775933609936,0.839423571796243,6.787973,79.79297958626331,2.4109127665108487,2.4095932581042305,4.497747852921624,5.6489211733363245,6.787973403930664
ELAC1,Endothelial cell,0.2759531,0.039857775,0.212309820193637,0.04760679361811645,-2.9662762,-16.470302657552054,-0.3406135799733126,-0.3401840550283989,-1.9894273471208936,-2.830277810084073,-2.966276168823242
EPB41L4A-AS1,Endothelial cell,1.2790145,0.26172557,0.71784232365145,0.2720020586721558,-3.115639,-44.584026497929415,-1.4676381238008038,-1.4669843956375024,-1.884223205022003,-3.072647195854097,-3.115639925003052
EXTL3,Endothelial cell,0.4858116,0.10612498,0.3326417704011055,0.12274832732887223,-2.4820013,-20.989344307223327,-0.5477722533690923,-0.5474137626829156,-1.6052447037968751,-2.380269249278368,-2.482002019882202
FAM174C,Endothelial cell,0.001607006,0.27066043,0.0013831258644536654,0.28435409161091146,7.5944457,28.29709657464578,0.3881615572233524,0.3868771559555706,5.662992646371052,7.339382725993709,7.5944437980651855
HSPA1B,Endothelial cell,0.022237778,1.240144,0.02489626556016598,0.5772002058672431,6.771148,55.23039403070771,1.7570667628962124,1.7559991730335631,4.860803187954851,5.462553138488653,6.771147727966309
IGKC,Endothelial cell,0.014236258,0.43550918,0.008298755186721992,0.32861554297478585,5.2503166,32.03167877880638,0.607768136250378,0.606350612759701,3.82901054672065,5.923879470526426,5.2503156661987305
INS,Endothelial cell,3.2968426,0.20102002,0.9066390041493746,0.18322182192485686,-6.869102,-72.34171822245176,-4.46632988531889,-4.463904180564723,-5.124731599255283,-8.79319198950172,-6.869103908538818
LARP6,Endothelial cell,0.9649054,0.07833479,0.5781466113416303,0.09212557900154383,-4.317358,-48.602103234008645,-1.279050267965698,-1.2782295445674892,-2.727694962961308,-4.090843905364416,-4.317357540130615
