tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,background_cpu_mean,background_cpu_max,sampler_errors
grid,cells_1000_g8000,duet,,,,condition,1,1,True,5.4,False,True,0-15,1789318153.8446116,duet,read,0.013,0.016,237.97265625,,,,,,,,,,,
grid,cells_1000_g8000,duet,,,,condition,1,1,True,5.4,False,True,0-15,1789318153.8446116,duet,fit_test,0.059,0.062,237.97265625,,,,,,,,,,,
grid,cells_1000_g8000,duet,,,,condition,1,1,True,5.4,False,True,0-15,1789318153.8446116,duet,write,0.079,0.078,235.01171875,,,,,,,,,,,
grid,cells_1000_g8000,duet,,,,condition,1,1,True,5.4,False,True,0-15,1789318153.8446116,duet,TOTAL_PROCESS,1.5851211547851562,1.53125,237.97265625,,246.41796875,199.38671875,187.78125,50.19140625,0.0,,,,,
grid,cells_1000_g8000,duet,,,,condition,1,1,True,5.4,False,True,0-15,1789318153.8446116,ALL,TOTAL_RUN,1.5851211547851562,1.53125,237.97265625,,246.41796875,199.38671875,187.78125,50.19140625,0.0,,,10.6,10.6,
grid,cells_1000_g8000,mast,dense,True,bayesglm,condition,1,1,True,6.6,False,True,0-15,1789318157.4365685,export,read,0.014,0.016,231.625,,,,,,,,,,,
grid,cells_1000_g8000,mast,dense,True,bayesglm,condition,1,1,True,6.6,False,True,0-15,1789318157.4365685,export,export,0.056,0.328,231.625,,,,,,,,,,,
grid,cells_1000_g8000,mast,dense,True,bayesglm,condition,1,1,True,6.6,False,True,0-15,1789318157.4365685,export,TOTAL_PROCESS,1.2613484859466553,1.46875,231.625,,231.62890625,188.7421875,179.30859375,52.31640625,0.0,,,,,
grid,cells_1000_g8000,mast,dense,True,bayesglm,condition,1,1,True,6.6,False,True,0-15,1789318157.4365685,R,read,0.81,0.79,842.4765625,559.5,,,,,,,,,,
grid,cells_1000_g8000,mast,dense,True,bayesglm,condition,1,1,True,6.6,False,True,0-15,1789318157.4365685,R,singlecellassay,0.05,0.06,783.390625,605.4,,,,,,,,,,
