tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,sampler_errors,background_cpu_mean,background_cpu_max
grid_cdr,sparsity_mid_c10000,duet,,,,cdr,1,1,True,12.9,False,True,0-15,1789392175.4842284,duet,read,0.73,0.062,442.80078125,,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,duet,,,,cdr,1,1,True,12.9,False,True,0-15,1789392175.4842284,duet,fit_test_write,26.198,25.391,601.03125,,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,duet,,,,cdr,1,1,True,12.9,False,True,0-15,1789392175.4842284,duet,TOTAL_PROCESS,28.620231866836548,27.078125,601.03125,,601.03125,554.4375,188.14453125,412.88671875,0.0,,,,,
grid_cdr,sparsity_mid_c10000,duet,,,,cdr,1,1,True,12.9,False,True,0-15,1789392175.4842284,ALL,TOTAL_RUN,28.620231866836548,27.078125,601.03125,,601.03125,554.4375,188.14453125,412.88671875,0.0,,,0.0,16.989285714285714,26.662499999999998
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,export,read,0.05,0.062,401.66796875,,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,export,export,0.503,4.25,680.82421875,,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,export,TOTAL_PROCESS,1.9231736660003662,5.59375,680.82421875,,680.828125,639.33984375,161.546875,519.27734375,0.0,,,,,
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,R,read,5.41,5.3,1550.95703125,1308.7,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,R,singlecellassay,0.64,0.61,2471.41796875,2276.9,,,,,,,,,,
grid_cdr,sparsity_mid_c10000,mast,dense,TRUE,bayesglm,cdr,1,1,True,17.3,False,True,0-15,1789392206.1299388,R,zlm,191.41,189.17,4185.83203125,4199.0,,,,,,,,,,
