condition,expression
ctrl,1.4619932
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,2.1310735
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,2.4549499
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,1.8993901
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,1.11916
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,2.3099985
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,1.4023311
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,2.2914119
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,1.5106838
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,3.2234955
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,1.6033856
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,2.147268
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
ctrl,0.0
