tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,background_cpu_mean,background_cpu_max
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,export,read,0.078,0.078,467.671875,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,export,export,0.716,5.906,858.1328125,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,export,TOTAL_PROCESS,2.3181824684143066,7.328125,858.1328125,,858.1328125,816.59375,161.19140625,696.94140625,0.0,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,read,8.17,7.41,1550.80078125,1331.5,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,singlecellassay,0.08,0.08,1555.44921875,1378.1,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,zlm,183.61,171.7,3154.390625,3098.0,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,lrtest,163.25,153.81,3201.91796875,3100.3,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,assemble,0.52,0.52,2061.42578125,1730.9,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,write,0.05,0.04,1860.7265625,1345.8,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,R,TOTAL_PROCESS,362.7623863220215,340.171875,3201.91796875,,3187.296875,3233.421875,720.30078125,2481.6171875,0.0,,assay class after SingleCellAssay: matrix,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,1,True,24.7,False,True,0-15,1789312805.287592,ALL,TOTAL_RUN,365.0805687904358,347.5,3201.91796875,,3187.296875,3233.421875,161.19140625,2481.6171875,0.0,,,27.546875,40.625
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,export,read,0.065,0.062,471.26171875,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,export,export,0.626,5.578,857.90625,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,export,TOTAL_PROCESS,1.8906610012054443,6.703125,857.90625,,857.91015625,816.4765625,160.01171875,697.89453125,0.0,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,read,6.87,6.85,1550.828125,1331.5,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,singlecellassay,0.06,0.05,1555.55078125,1378.1,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,zlm,148.75,148.84,3156.44921875,3098.0,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,lrtest,133.61,133.93,3201.58984375,3100.3,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,assemble,0.5,0.52,2047.12109375,1730.9,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,write,0.04,0.03,1860.234375,1345.8,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,R,TOTAL_PROCESS,295.7311952114105,296.109375,3201.58984375,,3197.58203125,3242.23828125,722.359375,2479.23046875,0.0,,assay class after SingleCellAssay: matrix,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,2,False,5.5,False,True,0-15,1789313172.4095545,ALL,TOTAL_RUN,297.62185621261597,302.8125,3201.58984375,,3197.58203125,3242.23828125,160.01171875,2479.23046875,0.0,,,12.3,15.568750000000001
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,export,read,0.067,0.078,445.2734375,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,export,export,0.641,5.5,857.88671875,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,export,TOTAL_PROCESS,1.9317395687103271,6.703125,857.88671875,,857.890625,816.50390625,183.19921875,674.6875,0.0,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,read,6.86,6.81,1551.24609375,1331.5,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,singlecellassay,0.05,0.07,1555.8359375,1378.1,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,zlm,148.69,148.91,3153.484375,3098.0,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,lrtest,133.73,133.82,3201.90625,3100.3,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,assemble,0.52,0.5,1861.6953125,1730.9,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,write,0.03,0.05,1703.78515625,1345.8,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,R,TOTAL_PROCESS,295.73837518692017,296.0,3201.90625,,3193.5546875,3238.859375,721.76953125,2480.13671875,0.0,,assay class after SingleCellAssay: matrix,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,3,False,5.1,False,True,0-15,1789313472.0899727,ALL,TOTAL_RUN,297.6701147556305,302.703125,3201.90625,,3193.5546875,3238.859375,183.19921875,2480.13671875,0.0,,,7.2,62.22500000000001
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,export,read,0.066,0.062,446.8984375,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,export,export,0.639,5.25,857.44140625,,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,export,TOTAL_PROCESS,1.9181251525878906,6.421875,857.44140625,,857.4453125,815.734375,178.24609375,679.1953125,0.0,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,R,read,6.83,6.85,1552.07421875,1331.5,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,R,singlecellassay,0.06,0.06,1556.3046875,1378.1,,,,,,,,,
mem_dense_ebFALSE,ductal_all,mast,dense,FALSE,bayesglm,condition,1,4,False,4.9,False,True,0-15,1789313771.7984173,R,zlm,149.58,149.79,3162.55859375,3098.0,,,,,,,,,
