tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,background_cpu_mean,background_cpu_max
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,export,read,0.078,0.078,446.203125,,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,export,export,0.699,5.875,857.47265625,,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,export,TOTAL_PROCESS,2.2910056114196777,7.25,857.47265625,,857.47265625,815.97265625,160.921875,696.55078125,0.0,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,read,7.92,7.53,1551.12109375,1331.5,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,singlecellassay,0.07,0.06,1555.8125,1378.1,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,zlm,166.45,163.5,4595.0390625,4525.0,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,lrtest,166.5,157.07,3787.31640625,3768.3,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,assemble,0.64,0.61,2202.51171875,1730.9,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,write,0.04,0.05,1873.56640625,1346.0,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,R,TOTAL_PROCESS,348.5894846916199,335.375,4595.0390625,,4598.8671875,4650.28125,720.125,3874.9140625,0.0,,assay class after SingleCellAssay: matrix,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,1,True,21.1,False,True,0-15,1789311302.2245889,ALL,TOTAL_RUN,350.88049030303955,342.625,4595.0390625,,4598.8671875,4650.28125,160.921875,3874.9140625,0.0,,,24.698437499999997,34.259375
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,export,read,0.08,0.094,472.01171875,,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,export,export,0.713,5.562,857.61328125,,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,export,TOTAL_PROCESS,2.425858497619629,7.0625,857.61328125,,857.61328125,816.04296875,161.57421875,696.0390625,0.0,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,read,8.21,7.48,1551.30078125,1331.5,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,singlecellassay,0.08,0.08,1555.8515625,1378.1,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,zlm,196.32,184.47,4609.13671875,4525.0,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,lrtest,162.97,153.44,3788.44921875,3768.3,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,assemble,0.65,0.63,2244.9296875,1730.9,,,,,,,,,
mem_dense_ebTRUE,ductal_all,mast,dense,TRUE,bayesglm,condition,1,2,False,20.6,False,True,0-15,1789311655.1610525,R,write,0.05,0.05,1874.875,1346.0,,,,,,,,,
