token,value
arm_rho_deseq2,−0.19
arm_rho_duet,0.61
arm_rho_wilcoxon,0.89
arm_t_range,0.20–0.75
bench_iqr_lt5,20
bench_iqr_max,13
bench_iqr_n,23
bench_peak_agree_pct,9
bench_wall_cpu_duet_max,15
bench_wall_cpu_mast,−2% to +4%
bs_batch_pb,9.5
bs_batch_r_range,0.64–0.79
bs_donor_duet,36.2
bs_donor_duet_typeI,0.45
bs_donor_pb,0.016
bs_donor_wilcoxon,15.3
bs_none_max,0.025
bs_sigma_d,0.136
lfc_med_deseq2,0.67
lfc_med_diffxpy,0.78
lfc_med_duet,0.14
lfc_med_mast,0.14
lfc_med_wilcoxon,0.78
lfc_n_common,"22,077"
lfc_spearman_duet_wilcoxon,0.95
panc_cells,"191,362"
panc_dup_pct,59.6
panc_ref_cells,"25,731"
panc_ref_rows,"63,631"
pb_direction_conflict,0.1
pb_ranked_only,"1,662"
t10_coefcont_maxrel,2 × 10⁻⁴
t10_detect_bayes_tol,93.7–99.8
t10_detect_glm_maxabs,2 × 10⁻⁵
t10_jac_range,0.86–1.00
t10_logfc_glm_maxrel,1.5 × 10⁻⁴
t10_statcont_eb_max,35%
t10_statcont_eb_med,1.0–17.4%
t10_statcont_noeb_max,21%
t10_statcont_noeb_med,0.08–1.71%
t11_diffxpy,49 and 83
t11_duet,4.6 and 6.4
t11_kang_genes,"1,954"
t11_mast,4.5 and 5.9
t11_panc_genes,"9,772"
t11_scanpy,3.3 and 2.2
t11b_p_top20_jac_range,0.00–0.08
t11b_panc_top100_duet,12–17
t12_capped,110
t12_capped_pct,0.24
t12_max_stat,"7,816"
t12_tested,"45,486"
t12_top100,84
t12b_err_chi2,1.3 × 10⁻¹²
t12b_err_logp,4.7 × 10⁻¹³
t12b_min_log10p,"−323,380"
t1_jac_range,0.85–1.00
t1_ladder_jac_range,0.999–1.000
t1_n_real,9
t1_nlp_range,0.997–1.000
t1_r_min,1.000
t1_real_cells_range,"1,740–16,622"
t1_sign_range,99.97–100
t2_background_range,9–31
t2_compute_cpu_ratio_range,878–884
t2_compute_ratio_range,787–888
t2_duet_cpu_range,1.6–2.5
t2_duet_peak_range,"264–1,313"
t2_mast_cpu_range,61–650
t2_mast_peak_range,"1,356–8,084"
t2_max_cells,"17,093"
t2_ratio_range,39–257
t2b_compute_share,84–98
t2b_io_share,3–4
t2c_dense_eb,"4,609"
t2c_dense_eb_cpu,364
t2c_dense_noeb,"3,156"
t2c_sparse_eb,"6,192"
t2c_sparse_eb_cpu,530
t2c_sparse_noeb,"2,355"
t2d_50k_duet_cpu,3.2
t2d_50k_duet_peak,"2,470"
t2d_50k_mast_cpu,"1,408"
t2d_50k_mast_peak,"20,170"
t2d_compute_ratio_range,"530–1,082"
t2d_repeat_mast_range,324–335
t2d_slope_cells_duet,0.86
t2d_slope_cells_mast,0.89
t2d_slope_genes_duet,1.09
t2d_slope_genes_mast,1.07
t2d_zf_duet_mem_high,362
t2d_zf_duet_mem_low,"1,146"
t2d_zf_high,0.93
t2d_zf_low,0.61
t2d_zf_mast_cpu_range,335–386
t2d_zf_mast_mem_range,"4,451–4,670"
t3_deseq2_auc,0.983 ± 0.013
t3_deseq2_prauc,0.956 ± 0.024
t3_deseq2_sens,0.677
t3_duet_auc,0.960 ± 0.049
t3_duet_fdr,0.62
t3_duet_fdr_le10,7
t3_duet_fdr_range,0.023 to 0.906
t3_duet_prauc,0.916 ± 0.101
t3_duet_sens,0.977
t3_mast_auc,0.960 ± 0.049
t3_mast_sens,0.977
t3_pb_sens,0.677
t3_wilcoxon_fdr,0.12
t3_wilcoxon_fdr_le10,65
t3b_deseq2_sens,0.889
t3b_diffxpy_sens,0.882
t3b_duet_fdr_max,0.82
t3b_duet_sens,0.636
t3b_fdr_range,0.049–0.061
t3b_mast_sens,0.635
t3b_wilcoxon_sens,0.667
t4_db_deseq2,18.0
t4_db_duet,94.8
t4_ee_duet,42.7
t4_ep_duet,45.7
t5_crowell_duet,54.9–90.9
t5_crowell_wilcoxon,0.8–48.3
t5_kang_duet,0.2–7.9
t5_kang_pb_share,23–40
t5_kang_wilcoxon,0.1–1.4
t5_panc_duet,50.3–72.8
t5_panc_wilcoxon,17.9–23.1
t5_pb_range,0.00–0.33
t6_deseq2_medp,0.829
t6_deseq2_typeI,0.0002
t6_diffxpy_typeI,0.072
t6_duet_medp,0.153
t6_duet_q1,0.32
t6_duet_q4,0.53
t6_duet_typeI,0.495
t6_duet_typeI_range,0.046–0.990
t6_m_range,"3,983–4,000"
t6_mast_typeI,0.491
t6_wilcoxon_typeI,0.035
t7_da_fdr_max,0.004
t7_da_sens_range,0.26–0.30
t7_glimes_min_range,3.8–8.6
t7_glmer_min,102 (range 62–109)
t7_null_binom_range,0.01–0.11
t7_null_pb_range,0.00–0.11
t7_pb_sens_range,0.56–0.62
t9_jac_range,0.53–0.98
t9_r_min,0.999
t9_wrapper_paired_jac_range,0.986–1.000
trappc5_coef,+0.90
trappc5_common,+6.34
trappc5_det_ref,2.1
trappc5_det_test,50.7
