dataset,celltype,n_cells,mast_method,mast_ebayes,component,n_genes,pearson,spearman,max_abs_diff,max_rel_diff,median_rel_diff,share_within_tol,worst_genes
kang,CD14+ Monocytes,5697,bayesglm,True,stat_detect,1954,1,1,2.812,0.3596,8.198e-07,0.998,FTL;HLA-B;H3F3B
kang,CD14+ Monocytes,5697,bayesglm,True,stat_continuous,1954,1,1,31.72,0.07654,0.01955,0,SCIN;CD80;HAPLN3
kang,CD14+ Monocytes,5697,bayesglm,True,stat_hurdle,1954,1,1,34.47,0.03691,0.003429,0.2354,HPRT1;SS18L2;DNAJB1
kang,CD14+ Monocytes,5697,bayesglm,True,df_hurdle,1954,,,1,0.5,0,0.9985,B2M;MALAT1;FTH1
kang,CD14+ Monocytes,5697,bayesglm,True,coef_detect,1954,0.8622,1,20.05,0.9354,0.0009314,0.5532,FTL;HLA-B;ISG15
kang,CD14+ Monocytes,5697,bayesglm,True,coef_continuous,1954,1,1,5.044e-07,3.328e-05,1.12e-07,1,RARRES3;PNPT1;MSR1
kang,CD14+ Monocytes,5697,bayesglm,True,logFC,1954,1,1,0.004109,0.4897,0.0007272,0.6888,MFSD1;MYL12B;SNAP23
kang,CD14+ Monocytes,5697,bayesglm,True,neglog10_p,1860,1,1,2.398,0.03691,0.003725,0.2199,HPRT1;SS18L2;DNAJB1
kang,CD14+ Monocytes,5697,bayesglm,True,neglog10_fdr,1861,1,1,1.532,0.3269,0.0412,0.007523,TERF2IP;FABP5;CTSD
kang,CD14+ Monocytes,5697,bayesglm,True,sig_calls_jaccard,1954,,,19,,,0.99,
kang,CD14+ Monocytes,5697,glm,True,stat_detect,1954,1,1,1.759e-05,6.163e-08,9.638e-15,1,EMP3;HLA-B;FTL
kang,CD14+ Monocytes,5697,glm,True,stat_continuous,1954,1,1,31.72,0.07654,0.01955,0,SCIN;CD80;HAPLN3
kang,CD14+ Monocytes,5697,glm,True,stat_hurdle,1954,1,1,31.72,0.03691,0.003425,0.2359,HPRT1;SS18L2;DNAJB1
kang,CD14+ Monocytes,5697,glm,True,df_hurdle,1954,1,1,0,0,0,1,PTTG1IP;SUMO3;CSTB
kang,CD14+ Monocytes,5697,glm,True,coef_detect,1951,0.9898,1,8.065,0.2829,5.669e-12,0.9979,ISG15;IFITM3;HLA-B
kang,CD14+ Monocytes,5697,glm,True,coef_continuous,1954,1,1,5.044e-07,3.328e-05,1.12e-07,1,RARRES3;PNPT1;MSR1
