scenario,method,n_reps,rejection_pct_mean,rejection_pct_max,raw_type1_mean,share_reps_with_any_discovery,r_log2fc_vs_batch_shift_mean
batch_group,DESeq2-pseudobulk,20,9.479,11.2,0.2406,1,0.7904
batch_group,DUET,20,63.8,91.65,0.6713,1,0.6385
batch_group,DUET+PB,20,9.463,11.2,,1,0.6385
batch_group,wilcoxon,20,33.86,35.9,0.409,1,0.7877
donor,DESeq2-pseudobulk,20,0.01625,0.05,0.05805,0.5,
donor,DUET,20,36.19,41.77,0.4473,1,
donor,DUET+PB,20,0.01625,0.05,,0.5,
donor,wilcoxon,20,15.28,16.57,0.2396,1,
none,DESeq2-pseudobulk,20,0.00625,0.025,0.0231,0.25,
none,DUET,20,0.00125,0.025,0.04895,0.05,
none,DUET+PB,20,0.00625,0.025,,0.25,
none,wilcoxon,20,0,0,0.006137,0,
