method,category,n,mean,ci_low,ci_high,interpretation
DUET,de,50,0.8702655168748455,0.8552863611085001,0.8844515019840783,sensitivity
DUET,dp,50,0.6698287623410263,0.6469969494477928,0.6936731101496852,sensitivity
DUET,dm,50,0.6845770007953434,0.6632466262076964,0.7067898465937504,sensitivity
DUET,db,50,0.31947887263568,0.2755773375231953,0.3636831120902478,sensitivity
DUET,ee,50,0.0219581864188167,0.0031016790951321,0.0457752613394994,false-positive proportion
DUET,ep,50,0.0291767094467994,0.0021609195402298,0.0628259058079566,false-positive proportion
MAST,de,50,0.8693150668693497,0.8543899180301971,0.8834105326823307,sensitivity
MAST,dp,50,0.6686684037266812,0.645661219006345,0.6924147034647447,sensitivity
MAST,dm,50,0.6837885808337251,0.6624748530551239,0.7057568546850729,sensitivity
MAST,db,50,0.3180205223243978,0.2739977497618787,0.3618713170695664,sensitivity
MAST,ee,50,0.0214652071964807,0.0030058936545191,0.0447525447784563,false-positive proportion
MAST,ep,50,0.0286782441265427,0.0020689655172413,0.061867942703544,false-positive proportion
wilcoxon,de,50,0.8691152171527916,0.8525426364082461,0.8855985665098882,sensitivity
wilcoxon,dp,50,0.7169735590493995,0.6907992459851408,0.7430426921548422,sensitivity
wilcoxon,dm,50,0.7289762846239941,0.7039224445893671,0.7534980634919941,sensitivity
wilcoxon,db,50,0.3554372563942294,0.323727713433585,0.3910675408095551,sensitivity
wilcoxon,ee,50,0.0048244943470062,0.0022890897759044,0.00772393145581,false-positive proportion
wilcoxon,ep,50,0.0086451727613103,0.003504541130487,0.0148397976105871,false-positive proportion
diffxpy,de,50,0.9810710278139604,0.9772500450469208,0.9846760153568156,sensitivity
diffxpy,dp,50,0.924133735044222,0.9132322455477072,0.9351481929618816,sensitivity
diffxpy,dm,50,0.9303830385312662,0.9209781698028088,0.9398797183788618,sensitivity
diffxpy,db,50,0.6951016133360968,0.6527461258998805,0.7380815730169428,sensitivity
diffxpy,ee,50,0.0067183456052087,0.004873120583619,0.0089847784946003,false-positive proportion
diffxpy,ep,50,0.0084584365218486,0.0058727005292438,0.0115814762009178,false-positive proportion
DESeq2,de,50,0.9921256704868784,0.9889741201561232,0.9948366923580774,sensitivity
DESeq2,dp,50,0.9544315535900946,0.9482587813939718,0.9605031085586052,sensitivity
DESeq2,dm,50,0.9578109205937576,0.9528087350132262,0.9629186629342946,sensitivity
DESeq2,db,50,0.6503781225316441,0.607920495390968,0.6921648128906334,sensitivity
DESeq2,ee,50,0.005384205036126,0.0045210787802339,0.006214201808143,false-positive proportion
DESeq2,ep,50,0.0041556426929098,0.0030354080089734,0.0053376304432405,false-positive proportion
