factor,input,cells,genes,zero_fraction,duet_compute_cpu_s,mast_compute_cpu_s,duet_cpu_s,mast_cpu_s,duet_delta_mb,mast_delta_mb,duet_n_runs,mast_n_runs,duet_peak_mb,mast_peak_mb,duet_wall_s,mast_wall_s,speedup_cpu,speedup_compute_cpu,memory_ratio_peak
cells,cells_1000_g8000,1000,8000,0.8195,0.047,42.48,1.469,51.03,50.07,576.7,5,5,240.3,1300,1.525,50.95,34.74,,5.408
cells,cells_2500_g8000,2500,8000,0.8163,0.109,89.2,1.562,99.5,98.39,1069,5,5,287.2,1788,1.642,99.61,63.68,,6.227
cells,cells_5000_g8000,5000,8000,0.8172,0.172,167.8,1.703,181.2,215.2,2033,5,5,426.7,2753,1.741,180.6,106.4,,6.451
cells,cells_10000_g8000,10000,8000,0.8175,0.281,310,1.766,327.5,445.7,3952,5,5,644.6,4674,1.815,326.3,185.5,,7.251
cells,cells_25000_g8000,25000,8000,0.8166,0.703,697.9,2.203,728.2,1129,9736,5,5,1326,1.046e+04,2.307,721.5,330.6,992.8,7.885
cells,cells_50000_g8000,50000,8000,0.8163,1.438,1355,3.172,1408,2278,1.945e+04,5,5,2470,2.017e+04,3.297,1379,443.8,942,8.165
genes,genes_2000_c10000,10000,2000,0.8183,0.062,69.69,1.547,79.59,95.27,872.7,5,5,289.8,1590,1.644,79.22,51.45,,5.489
genes,genes_8000_c10000,10000,8000,0.816,0.297,306.1,1.875,324.4,460.7,3952,5,5,648.8,4673,2.034,323.3,173,,7.202
genes,genes_20000_c10000,10000,20000,0.8174,0.766,828.6,2.516,859.5,1133,9864,5,5,1322,1.059e+04,2.684,857.8,341.6,1082,8.011
sparsity,sparsity_high_c10000,10000,8000,0.9336,0.141,374.4,1.688,386.4,175.8,3773,5,5,361.6,4513,1.774,387.3,229,,12.48
sparsity,sparsity_mid_c10000,10000,8000,0.818,0.297,317.5,1.844,334.9,456.2,3948,5,5,643.6,4670,1.927,334.2,181.6,,7.255
sparsity,sparsity_low_c10000,10000,8000,0.6143,0.609,322.9,2.203,349.3,948.9,3731,5,5,1146,4451,2.385,354.5,158.6,530.1,3.884
