df,t,log10_p,rel_err_log_p,chi2_stat,rel_err_chi2,old_chi2_stat
3,1.000e+110,-329.7,0,1510,1.505e-16,1374
3,1.000e+150,-449.7,0,2063,0,1374
3,1.000e+200,-599.7,0,2753,1.652e-16,1374
3,1.000e+300,-899.7,0,4134,0,1374
10,4.416e+30,-302.1,1.635e-16,1383,3.287e-16,1374
10,4.637e+30,-302.3,1.633e-16,1384,4.927e-16,1374
10,6.624e+30,-303.8,0,1391,3.268e-16,1374
10,1.325e+31,-306.8,3.218e-16,1405,4.854e-16,1374
10,4.416e+31,-312.1,0,1429,1.591e-16,1374
10,2.208e+32,-319,1.548e-16,1462,0,1374
30,2.097e+11,-318.3,1.551e-16,1458,1.559e-16,1374
30,2.201e+11,-319,0,1461,3.112e-16,1374
30,3.145e+11,-323.6,1.526e-16,1483,0,1374
30,6.290e+11,-332.6,0,1524,0,1374
30,2.097e+12,-348.3,0,1596,1.424e-16,1374
30,1.048e+13,-369.3,1.337e-16,1693,2.686e-16,1374
100,9662,-299.6,1.648e-16,1372,1.657e-16,1374
100,1.014e+04,-301.7,1.636e-16,1382,1.646e-16,1374
100,1.449e+04,-317.2,1.556e-16,1453,0,1374
100,2.898e+04,-347.3,0,1592,1.429e-16,1374
100,9.661e+04,-399.6,0,1832,1.241e-16,1374
100,4.831e+05,-469.5,0,2154,2.111e-16,1374
1000,54.28,-299.6,0,1372,3.314e-16,1374
1000,56.99,-315.6,0,1446,1.573e-16,1374
1000,81.41,-442.8,7.806e-16,2031,6.717e-16,1374
1000,162.8,-721.4,2.738e-16,3313,1.372e-16,1374
1000,542.8,-1237,0,5687,3.198e-16,1374
1000,2714,-1935,2.041e-16,8902,1.226e-15,1374
1e+04,38.36,-299.8,0,1373,0,1374
1e+04,40.27,-328.1,4.515e-16,1503,6.051e-16,1374
1e+04,57.53,-622.7,4.757e-16,2859,6.362e-16,1374
1e+04,115.1,-1833,4.309e-16,8433,6.471e-16,1374
1e+04,383.6,-5983,6.602e-16,2.754e+04,8.797e-14,1374
1e+04,1918,-1.284e+04,3.693e-16,5.91e+04,3.693e-13,1374
1.000e+05,37.18,-299.8,1.647e-16,1373,1.656e-16,1374
1.000e+05,39.03,-330,4.159e-14,1512,4.18e-14,1374
1.000e+05,55.76,-666.8,8.738e-15,3062,8.911e-15,1374
1.000e+05,111.5,-2548,6.201e-15,1.172e+04,1.086e-15,1374
1.000e+05,371.7,-1.885e+04,6.706e-16,8.679e+04,5.9e-13,1374
1.000e+05,1859,-7.754e+04,3.26e-16,3.571e+05,1.293e-12,1374
1.000e+06,37.06,-299.8,1.647e-16,1373,1.656e-16,1374
1.000e+06,38.91,-330.2,4.732e-13,1513,4.755e-13,1374
1.000e+06,55.59,-671.8,8.98e-14,3085,9.02e-14,1374
1.000e+06,111.2,-2670,7.752e-14,1.229e+04,7.122e-14,1374
1.000e+06,370.6,-2.795e+04,6.784e-15,1.287e+05,8.314e-13,1374
1.000e+06,1853,-3.234e+05,3.127e-16,1.489e+06,1.087e-12,1374
